Day,Start Time,End Time,Course title,Room,Instructor,Actual Class Duration
M,3:50 PM,5:5 PM,Calculus II,FF-N220,Aatyka Fatima,75
M,8:30 AM,9:45 AM,Hikma I,E-003,Abdullah Mirza,75
M,10:0 AM,11:15 AM,Data Structures II,E-003,Fahad Javed,75
M,1:5 PM,2:20 PM,Software Security,E-003,Muhammad Nadeem,75
M,3:30 PM,4:45 PM,History of SA music,E-003,Daniyal Ahmed,75
M,8:30 AM,11:0 AM,Assembly of the Weird,PG-1,Zain Saeed,150
M,9:35 AM,10:50 AM,Linear Algebra,PG-1,Sajal Rana,75
M,11:15 AM,12:30 PM,Jehan-e-Urdu,PG-1,Tanveer Anjum,75
M,12:45 PM,3:35 PM,Data Structures & Algo Lab,PG-1,Faiza Azhar,170
M,3:50 PM,5:5 PM,Analog & Digital Communication,PG-1,Tariq Mumtaz,75
M,5:20 PM,6:10 PM,Intro to Probability & Stats,PG-1,Zareen Tabassum,50
M,8:30 AM,9:45 AM,Hikma I,W-114,Hamza Bin Sajjad,75
M,11:30 AM,12:45 PM,What is Gender?,W-114,Haniya Habib,75
M,2:30 PM,3:45 PM,Social Theory II,W-114,Mahso Gichki,75
M,4:0 PM,5:15 PM,SRS: Karachi,W-114,Coline Ferrant,75
M,8:30 AM,9:45 AM,The Secret World of Microbes,W-111,Javeria Samad,75
M,10:0 AM,11:15 AM,Data Structures & Algorithms,W-111,Faiza Azhar,75
M,11:55 AM,1:10 PM,Hikma I,W-111,Hamza Bin Sajjad,75
M,1:25 PM,2:15 PM,Discrete Mathematics,W-111,Muhammad Munawwar Anwar,50
M,2:55 PM,4:10 PM,Comparative Empires,W-111,Mariam Sabri,75
M,8:30 AM,9:45 AM,Computer Architecture,LG-C001,Farhan Khan,75
M,11:30 AM,12:45 PM,Urban Sustainability,LG-C001,Farhan Anwar,75
M,1:0 PM,2:15 PM,Calculus II,LG-C001,Aatyka Fatima,75
M,2:30 PM,3:45 PM,Natural Language Processing,LG-C001,Faisal Alvi,75
M,4:0 PM,5:15 PM,Politics of Conflict,LG-C001,Ana Tawfiq Hussain,75
M,8:30 AM,11:50 AM,Production Fundamentals II,LG26,Syed Ali,200
M,8:30 AM,9:45 AM,Calculus II,LG26,Aatyka Fatima,75
M,10:0 AM,11:15 AM,Hikma I,LG26,Zainab Saleem,75
M,12:5 PM,1:20 PM,What is Modernity?,LG26,Muzammil Patel,75
M,1:35 PM,2:50 PM,Hikma I,LG26,Basharat Issa,75
