Day,Start Time,End Time,Program,Course code,Course title,Class nbr,Section,Room,Instructor,Actual Class Duration
Monday,10:00,11:15,CH,LIT 225,Literary Theory and Criticism,1181,S1,LG09,Nahrain Al-Mousawi,75
Wednesday,10:00,11:15,CH,LIT 225,Literary Theory and Criticism,1181,S1,FF-C200,Nahrain Al-Mousawi,75
Wednesday,11:55,13:10,CH,LIT 315,Reading the Partition,1182,S1,FF-W244,Inam Ullah,75
Friday,11:30,12:45,CH,LIT 315,Reading the Partition,1182,S1,E-011,Inam Ullah,75
Monday,14:30,15:45,CH,LIT 332,The World of Quratul Ain Hyder,1183,S1,GF-C109,Syed Afzal Ahmed,75
Friday,11:30,12:45,CH,LIT 332,The World of Quratul Ain Hyder,1183,S1,E-215,Syed Afzal Ahmed,75
Thursday,11:55,13:10,ISCIM,MATH 101,Calculus I,1217,L1,E-012,Sara Ashraf,75
Monday,13:00,14:15,ISCIM,MATH 101,Calculus I,1217,L1,GF-E101,Sara Ashraf,75
Friday,14:30,15:45,ISCIM,MATH 101,Calculus I,1217,L1,E-010,Sara Ashraf,75
Thursday,14:40,15:55,ISCIM,MATH 102,Calculus II,1218,L1,W-121,Yousuf Kerai,75
Friday,14:55,16:10,ISCIM,MATH 102,Calculus II,1218,L1,GF-E121,Yousuf Kerai,75
Tuesday,11:30,12:45,ISCIM,MATH 102,Calculus II,1219,L2,FF-C200,Yousuf Kerai,75
Monday,14:30,15:45,ISCIM,MATH 102,Calculus II,1219,L2,GF-E121,Yousuf Kerai,75
Friday,15:20,16:35,ISCIM,MATH 102,Calculus II,1220,L3,PG-1,Aatyka Fatima,75
Wednesday,11:30,12:45,ISCIM,MATH 102,Calculus II,1220,L3,W-114,Aatyka Fatima,75
Wednesday,10:00,11:15,ISCIM,MATH 102,Calculus II,1221,L4,LG-C001,Aatyka Fatima,75
Friday,11:30,12:45,ISCIM,MATH 102,Calculus II,1221,L4,FF-C200,Aatyka Fatima,75
Wednesday,15:40,16:55,ISCIM,MATH 102,Calculus II,1222,L5,GF-E121,Sajal Rana,75
Thursday,16:30,17:45,ISCIM,MATH 102,Calculus II,1222,L5,E-100,Sajal Rana,75
Friday,8:30,09:45,ISCIM,MATH 102,Calculus II,1223,L6,E-100,Muhammad Sami Siddiqui,75
